"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01/29/2021","115,068","118,880","118,880","114,973","10.97M","-3.21%"
"01/28/2021","118,883","115,882","119,355","115,734","12.07M","2.59%"
"01/27/2021","115,882","116,463","117,840","114,887","12.38M","-0.50%"
"01/26/2021","116,464","117,381","119,167","116,109","10.68M","-0.78%"
"01/22/2021","117,380","118,318","118,318","116,109","9.37M","-0.80%"
"01/21/2021","118,329","119,628","120,243","117,785","8.57M","-1.10%"
"01/20/2021","119,646","120,644","121,449","118,740","7.95M","-0.82%"
"01/19/2021","120,636","121,250","122,120","119,257","7.89M","-0.50%"
"01/18/2021","121,242","120,351","122,586","120,351","7.22M","0.74%"
"01/15/2021","120,349","123,472","123,472","120,185","9.39M","-2.54%"
"01/14/2021","123,481","121,947","123,896","121,947","8.97M","1.27%"
"01/13/2021","121,933","123,996","124,032","121,016","10.29M","-1.67%"
"01/12/2021","123,998","123,255","124,584","123,227","8.95M","0.60%"
"01/11/2021","123,255","125,075","125,075","122,506","9.54M","-1.46%"
"01/08/2021","125,077","122,387","125,324","122,386","11.09M","2.20%"
"01/07/2021","122,386","119,103","122,697","119,101","11.77M","2.76%"
"01/06/2021","119,100","119,377","120,924","118,917","11.64M","-0.23%"
"01/05/2021","119,376","118,835","119,790","116,756","9.26M","0.44%"
"01/04/2021","118,855","119,024","120,354","118,062","8.74M","-0.14%"
